Código;Ativo;Tipo;Natureza;Status;Preço;Stop;Gain;Quantidade;Qtd. Executada;Preço Médio;Criado em;Módulo;Estratégia;Criado por;Validade;Cancelada em;Cancelada por;Atualizado em;
-;MXRF11;A Mercado;Compra;Executada;0;;;5;5;10.47;30/12/2020 11:43:13;Swing Trade;;Cliente;;;;30/12/2020 11:43:14;
-;HCTR11;A Mercado;Compra;Executada;0;;;1;1;146.97;30/12/2020 11:42:42;Swing Trade;;Cliente;;;;30/12/2020 11:42:42;
